 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 0, 0, 0, 0, 0, 1, 2, 2, 2, 2, 2, 2, 9, 0, 0, 0, 0, 0
 0, 0, 0, 0, 0,10,18,11,18,11,11,18,19, 0, 0, 0, 0, 0
 0, 0, 0, 0, 0,20,21,22,23,24,21,22,25, 0, 0, 0, 0, 0
 0, 1, 2, 2, 3, 4,27,28,27,28,27,28, 7, 4, 7, 8, 9, 0
 0,10,18,11,18,11,31,32,31,32,31,32,11,18,11,18,19, 0
 0,34,40,35,40,35,40,35,38,39,40,35,40,35,38,39,41, 0
 0,42,48,43,48,43,48,43,44,45,48,43,48,43,44,45,49, 0
 0,50,51,52,51,52,51,52,55,56,51,52,51,52,55,56,57, 0
 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
